@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 numeric

@data
136,'2023/11/20 17:49:56:610',3,0,0,0,0,0,0,0,0,?
137,'2023/11/20 17:49:56:627',3,0,0,0,0,0,0,0,0,?
138,'2023/11/20 17:49:56:645',3,0,0,0,0,0,0,0,0,?
139,'2023/11/20 17:49:56:661',3,0,0,0,0,0,0,0,0,?
140,'2023/11/20 17:49:56:676',3,0,0,0,0,0,0,0,0,?
141,'2023/11/20 17:49:56:695',3,0,0,0,0,0,0,0,0,?
142,'2023/11/20 17:49:56:711',3,0,0,0,0,0,0,0,0,?
143,'2023/11/20 17:49:56:729',3,0,0,0,0,0,0,0,0,?
144,'2023/11/20 17:49:56:746',3,0,0,0,0,0,0,0,0,?
145,'2023/11/20 17:49:56:761',3,0,0,0,0,0,0,0,0,?
146,'2023/11/20 17:49:56:778',3,0,0,0,0,0,0,0,0,?
147,'2023/11/20 17:49:56:794',3,0,0,0,0,0,0,0,0,?
148,'2023/11/20 17:49:56:811',3,0,0,0,0,0,0,0,0,?
149,'2023/11/20 17:49:56:828',3,0,0,0,0,0,0,0,0,?
150,'2023/11/20 17:49:56:844',3,0,0,0,0,0,0,0,0,?
151,'2023/11/20 17:49:56:861',3,0,0,0,0,0,0,0,0,?
152,'2023/11/20 17:49:56:878',3,0,0,0,0,0,0,0,0,?
153,'2023/11/20 17:49:56:894',3,0,0,0,0,0,0,0,0,?
154,'2023/11/20 17:49:56:911',3,0,0,0,0,0,0,0,0,?
155,'2023/11/20 17:49:56:929',3,0,0,0,0,0,0,0,0,?
156,'2023/11/20 17:49:56:944',3,0,0,0,0,0,0,0,0,?
157,'2023/11/20 17:49:56:962',3,0,0,0,0,0,0,0,0,?
158,'2023/11/20 17:49:56:978',3,0,0,0,0,0,0,0,0,?
159,'2023/11/20 17:49:56:995',3,0,0,0,0,0,0,0,0,?
160,'2023/11/20 17:49:57:011',3,0,0,0,0,0,0,0,0,?
161,'2023/11/20 17:49:57:028',3,0,0,0,0,0,0,0,0,?
162,'2023/11/20 17:49:57:044',3,0,0,0,0,0,0,0,0,?
163,'2023/11/20 17:49:57:062',3,0,0,0,0,0,0,0,0,?
164,'2023/11/20 17:49:57:078',3,0,0,0,0,0,0,0,0,?
165,'2023/11/20 17:49:57:095',3,0,0,0,0,0,0,0,0,?
166,'2023/11/20 17:49:57:112',3,0,0,0,0,0,0,0,0,?
167,'2023/11/20 17:49:57:127',3,0,0,0,0,0,0,0,0,?
168,'2023/11/20 17:49:57:144',3,0,0,0,0,0,0,0,0,?
169,'2023/11/20 17:49:57:160',3,0,0,0,0,0,0,0,0,?
170,'2023/11/20 17:49:57:178',3,0,0,0,0,0,0,0,0,?
171,'2023/11/20 17:49:57:195',3,0,0,0,0,0,0,0,0,?
172,'2023/11/20 17:49:57:212',3,0,0,0,0,0,0,0,0,?
173,'2023/11/20 17:49:57:228',3,0,0,0,0,0,0,0,0,?
174,'2023/11/20 17:49:57:244',3,0,0,0,0,0,0,0,0,?
175,'2023/11/20 17:49:57:261',3,0,0,0,0,0,0,0,0,?
176,'2023/11/20 17:49:57:277',3,0,0,0,0,0,0,0,0,?
177,'2023/11/20 17:49:57:295',3,0,0,0,0,0,0,0,0,?
178,'2023/11/20 17:49:57:311',3,0,0,0,0,0,0,0,0,?
179,'2023/11/20 17:49:57:329',3,0,0,0,0,0,0,0,0,?
180,'2023/11/20 17:49:57:344',3,0,0,0,0,0,0,0,0,?
181,'2023/11/20 17:49:57:360',3,0,0,0,0,0,0,0,0,?
182,'2023/11/20 17:49:57:378',3,0,0,0,0,0,0,0,0,?
183,'2023/11/20 17:49:57:395',3,0,0,0,0,0,0,0,0,?
184,'2023/11/20 17:49:57:411',3,0,0,0,0,0,0,0,0,?
185,'2023/11/20 17:49:57:427',3,0,0,0,0,0,0,0,0,?
186,'2023/11/20 17:49:57:444',3,0,0,0,0,0,0,0,0,?
187,'2023/11/20 17:49:57:461',3,0,0,0,0,0,0,0,0,?
188,'2023/11/20 17:49:57:478',3,0,0,0,0,0,0,0,0,?
189,'2023/11/20 17:49:57:495',3,0,0,0,0,0,0,0,0,?
190,'2023/11/20 17:49:57:511',3,0,0,0,0,0,0,0,0,?
191,'2023/11/20 17:49:57:527',3,0,0,0,0,0,0,0,0,?
192,'2023/11/20 17:49:57:544',3,0,0,0,0,0,0,0,0,?
193,'2023/11/20 17:49:57:560',3,0,0,0,0,0,0,0,0,?
194,'2023/11/20 17:49:57:578',3,0,0,0,0,0,0,0,0,?
195,'2023/11/20 17:49:57:594',3,0,0,0,0,0,0,0,0,?
196,'2023/11/20 17:49:57:610',3,0,0,0,0,0,0,0,0,?
197,'2023/11/20 17:49:57:628',3,0,0,0,0,0,0,0,0,?
198,'2023/11/20 17:49:57:645',3,0,0,0,0,0,0,0,0,?
199,'2023/11/20 17:49:57:660',3,0,0,0,0,0,0,0,0,?
200,'2023/11/20 17:49:57:678',3,0,0,0,0,0,0,0,0,?
201,'2023/11/20 17:49:57:695',3,0,0,0,0,0,0,0,0,?
202,'2023/11/20 17:49:57:712',3,0,0,0,0,0,0,0,0,?
203,'2023/11/20 17:49:57:728',3,0,0,0,0,0,0,0,0,?
204,'2023/11/20 17:49:57:745',3,0,0,0,0,0,0,0,0,?
205,'2023/11/20 17:49:57:762',3,0,0,0,0,0,0,0,0,?
206,'2023/11/20 17:49:57:778',3,0,0,0,0,0,0,0,0,?
207,'2023/11/20 17:49:57:795',3,0,0,0,0,0,0,0,0,?
208,'2023/11/20 17:49:57:811',3,0,0,0,0,0,0,0,0,?
209,'2023/11/20 17:49:57:827',3,0,0,0,0,0,0,0,0,?
210,'2023/11/20 17:49:57:844',3,0,0,0,0,0,0,0,0,?
211,'2023/11/20 17:49:57:861',3,0,0,0,0,0,0,0,0,?
212,'2023/11/20 17:49:57:878',3,0,0,0,0,0,0,0,0,?
213,'2023/11/20 17:49:57:894',3,0,0,0,0,0,0,0,0,?
214,'2023/11/20 17:49:57:912',3,0,0,0,0,0,0,0,0,?
215,'2023/11/20 17:49:57:928',3,0,0,0,0,0,0,0,0,?
216,'2023/11/20 17:49:57:945',3,0,0,0,0,0,0,0,0,?
217,'2023/11/20 17:49:57:961',3,0,0,0,0,0,0,0,0,?
218,'2023/11/20 17:50:04:377',4,0,0,0,0,0,0,0,0,?
219,'2023/11/20 17:50:04:394',4,0,0,0,0,0,0,0,0,?
220,'2023/11/20 17:50:04:411',4,0,0,0,0,0,0,0,0,?
221,'2023/11/20 17:50:04:427',4,0,0,0,0,0,0,0,0,?
222,'2023/11/20 17:50:04:445',4,0,0,0,0,0,0,0,0,?
223,'2023/11/20 17:50:04:461',4,0,0,0,0,0,0,0,0,?
224,'2023/11/20 17:50:04:479',4,0,0,0,0,0,0,0,0,?
225,'2023/11/20 17:50:04:495',4,0,0,0,0,0,0,0,0,?
226,'2023/11/20 17:50:04:513',4,0,0,0,0,0,0,0,0,?
227,'2023/11/20 17:50:04:528',4,0,0,0,0,0,0,0,0,?
228,'2023/11/20 17:50:04:545',4,0,0,0,0,0,0,0,0,?
229,'2023/11/20 17:50:04:561',4,0,0,0,0,0,0,0,0,?
230,'2023/11/20 17:50:04:578',4,0,0,0,0,0,0,0,0,?
231,'2023/11/20 17:50:04:595',4,0,0,0,0,0,0,0,0,?
232,'2023/11/20 17:50:04:611',4,0,0,0,0,0,0,0,0,?
233,'2023/11/20 17:50:04:628',4,0,0,0,0,0,0,0,0,?
234,'2023/11/20 17:50:04:643',4,0,0,0,0,0,0,0,0,?
235,'2023/11/20 17:50:04:661',4,0,0,0,0,0,0,0,0,?
236,'2023/11/20 17:50:04:679',4,0,0,0,0,0,0,0,0,?
237,'2023/11/20 17:50:04:694',4,0,0,0,0,0,0,0,0,?
238,'2023/11/20 17:50:04:711',4,0,0,0,0,0,0,0,0,?
239,'2023/11/20 17:50:04:727',4,0,0,0,0,0,0,0,0,?
240,'2023/11/20 17:50:04:745',4,0,0,0,0,0,0,0,0,?
241,'2023/11/20 17:50:04:760',4,0,0,0,0,0,0,0,0,?
242,'2023/11/20 17:50:04:777',4,0,0,0,0,0,0,0,0,?
243,'2023/11/20 17:50:04:794',4,0,0,0,0,0,0,0,0,?
244,'2023/11/20 17:50:04:812',4,0,0,0,0,0,0,0,0,?
245,'2023/11/20 17:50:04:827',4,0,0,0,0,0,0,0,0,?
246,'2023/11/20 17:50:04:845',4,0,0,0,0,0,0,0,0,?
247,'2023/11/20 17:50:04:861',4,0,0,0,0,0,0,0,0,?
248,'2023/11/20 17:50:04:877',4,0,0,0,0,0,0,0,0,?
249,'2023/11/20 17:50:04:894',4,0,0,0,0,0,0,0,0,?
250,'2023/11/20 17:50:04:911',4,0,0,0,0,0,0,0,0,?
251,'2023/11/20 17:50:04:927',4,0,0,0,0,0,0,0,0,?
252,'2023/11/20 17:50:04:946',4,0,0,0,0,0,0,0,0,?
253,'2023/11/20 17:50:04:962',4,0,0,0,0,0,0,0,0,?
254,'2023/11/20 17:50:04:979',4,0,0,0,0,0,0,0,0,?
255,'2023/11/20 17:50:04:995',4,0,0,0,0,0,0,0,0,?
256,'2023/11/20 17:50:05:012',4,0,0,0,0,0,0,0,0,?
257,'2023/11/20 17:50:05:029',4,0,0,0,0,0,0,0,0,?
258,'2023/11/20 17:50:05:046',4,0,0,0,0,0,0,0,0,?
259,'2023/11/20 17:50:05:062',4,0,0,0,0,0,0,0,0,?
260,'2023/11/20 17:50:05:078',4,0,0,0,0,0,0,0,0,?
261,'2023/11/20 17:50:05:095',4,0,0,0,0,0,0,0,0,?
262,'2023/11/20 17:50:05:113',4,0,0,0,0,0,0,0,0,?
263,'2023/11/20 17:50:05:128',4,0,0,0,0,0,0,0,0,?
264,'2023/11/20 17:50:05:145',4,0,0,0,0,0,0,0,0,?
265,'2023/11/20 17:50:05:162',4,0,0,0,0,0,0,0,0,?
266,'2023/11/20 17:50:05:178',4,0,0,0,0,0,0,0,0,?
267,'2023/11/20 17:50:05:194',4,0,0,0,0,0,0,0,0,?
268,'2023/11/20 17:50:05:210',4,0,0,0,0,0,0,0,0,?
269,'2023/11/20 17:50:05:228',4,0,0,0,0,0,0,0,0,?
270,'2023/11/20 17:50:05:245',4,0,0,0,0,0,0,0,0,?
271,'2023/11/20 17:50:05:262',4,0,0,0,0,0,0,0,0,?
272,'2023/11/20 17:50:05:278',4,0,0,0,0,0,0,0,0,?
273,'2023/11/20 17:50:05:296',4,0,0,0,0,0,0,0,0,?
274,'2023/11/20 17:50:05:312',4,0,0,0,0,0,0,0,0,?
275,'2023/11/20 17:50:05:329',4,0,0,0,0,0,0,0,0,?
276,'2023/11/20 17:50:05:346',4,0,0,0,0,0,0,0,0,?
277,'2023/11/20 17:50:05:363',4,0,0,0,0,0,0,0,0,?
278,'2023/11/20 17:50:05:378',4,0,0,0,0,0,0,0,0,?
279,'2023/11/20 17:50:10:028',5,0,0,0,0,0,0,0,0,?
280,'2023/11/20 17:50:10:045',5,0,0,0,0,0,0,0,0,?
281,'2023/11/20 17:50:10:060',5,0,0,0,0,0,0,0,0,?
282,'2023/11/20 17:50:10:077',5,0,0,0,0,0,0,0,0,?
283,'2023/11/20 17:50:10:094',5,0,0,0,0,0,0,0,0,?
284,'2023/11/20 17:50:10:112',5,0,0,0,0,0,0,0,0,?
285,'2023/11/20 17:50:10:128',5,0,0,0,0,0,0,0,0,?
286,'2023/11/20 17:50:10:145',5,0,0,0,0,0,0,0,0,?
287,'2023/11/20 17:50:10:162',5,0,0,0,0,0,0,0,0,?
288,'2023/11/20 17:50:10:177',5,0,0,0,0,0,0,0,0,?
289,'2023/11/20 17:50:10:196',5,0,0,0,0,0,0,0,0,?
290,'2023/11/20 17:50:10:211',5,0,0,0,0,0,0,0,0,?
291,'2023/11/20 17:50:10:227',5,0,0,0,0,0,0,0,0,?
292,'2023/11/20 17:50:10:245',5,0,0,0,0,0,0,0,0,?
293,'2023/11/20 17:50:10:261',5,0,0,0,0,0,0,0,0,?
294,'2023/11/20 17:50:10:278',5,0,0,0,0,0,0,0,0,?
295,'2023/11/20 17:50:10:295',5,0,0,0,0,0,0,0,0,?
296,'2023/11/20 17:50:10:312',5,0,0,0,0,0,0,0,0,?
297,'2023/11/20 17:50:10:328',5,0,0,0,0,0,0,0,0,?
298,'2023/11/20 17:50:10:344',5,0,0,0,0,0,0,0,0,?
299,'2023/11/20 17:50:10:361',5,0,0,0,0,0,0,0,0,?
300,'2023/11/20 17:50:10:378',5,0,0,0,0,0,0,0,0,?
301,'2023/11/20 17:50:10:395',5,0,0,0,0,0,0,0,0,?
302,'2023/11/20 17:50:10:411',5,0,0,0,0,0,0,0,0,?
303,'2023/11/20 17:50:10:430',5,0,0,0,0,0,0,0,0,?
304,'2023/11/20 17:50:10:445',5,0,0,0,0,0,0,0,0,?
305,'2023/11/20 17:50:10:461',5,0,0,0,0,0,0,0,0,?
306,'2023/11/20 17:50:10:477',5,0,0,0,0,0,0,0,0,?
307,'2023/11/20 17:50:10:495',5,0,0,0,0,0,0,0,0,?
308,'2023/11/20 17:50:10:512',5,0,0,0,0,0,0,0,0,?
309,'2023/11/20 17:50:10:528',5,0,0,0,0,0,0,0,0,?
310,'2023/11/20 17:50:10:544',5,0,0,0,0,0,0,0,0,?
311,'2023/11/20 17:50:10:561',5,0,0,0,0,0,0,0,0,?
312,'2023/11/20 17:50:10:579',5,0,0,0,0,0,0,0,0,?
313,'2023/11/20 17:50:10:594',5,0,0,0,0,0,0,0,0,?
314,'2023/11/20 17:50:10:611',5,0,0,0,0,0,0,0,0,?
315,'2023/11/20 17:50:10:628',5,0,0,0,0,0,0,0,0,?
316,'2023/11/20 17:50:10:644',5,0,0,0,0,0,0,0,0,?
317,'2023/11/20 17:50:10:662',5,0,0,0,0,0,0,0,0,?
318,'2023/11/20 17:50:10:679',5,0,0,0,0,0,0,0,0,?
319,'2023/11/20 17:50:10:694',5,0,0,0,0,0,0,0,0,?
320,'2023/11/20 17:50:10:712',5,0,0,0,0,0,0,0,0,?
321,'2023/11/20 17:50:10:729',5,0,0,0,0,0,0,0,0,?
322,'2023/11/20 17:50:10:745',5,0,0,0,0,0,0,0,0,?
323,'2023/11/20 17:50:10:762',5,0,0,0,0,0,0,0,0,?
324,'2023/11/20 17:50:10:778',5,0,0,0,0,0,0,0,0,?
325,'2023/11/20 17:50:10:796',5,0,0,0,0,0,0,0,0,?
326,'2023/11/20 17:50:10:811',5,0,0,0,0,0,0,0,0,?
327,'2023/11/20 17:50:10:828',5,0,0,0,0,0,0,0,0,?
328,'2023/11/20 17:50:10:845',5,0,0,0,0,0,0,0,0,?
329,'2023/11/20 17:50:10:863',5,0,0,0,0,0,0,0,0,?
330,'2023/11/20 17:50:10:878',5,0,0,0,0,0,0,0,0,?
331,'2023/11/20 17:50:10:895',5,0,0,0,0,0,0,0,0,?
332,'2023/11/20 17:50:10:911',5,0,0,0,0,0,0,0,0,?
333,'2023/11/20 17:50:10:929',5,0,0,0,0,0,0,0,0,?
334,'2023/11/20 17:50:10:945',5,0,0,0,0,0,0,0,0,?
335,'2023/11/20 17:50:10:961',5,0,0,0,0,0,0,0,0,?
336,'2023/11/20 17:50:10:978',5,0,0,0,0,0,0,0,0,?
337,'2023/11/20 17:50:10:996',5,0,0,0,0,0,0,0,0,?
338,'2023/11/20 17:50:11:011',5,0,0,0,0,0,0,0,0,?
339,'2023/11/20 17:50:11:028',5,0,0,0,0,0,0,0,0,?
340,'2023/11/20 17:50:11:045',5,0,0,0,0,0,0,0,0,?
341,'2023/11/20 17:50:11:063',5,0,0,0,0,0,0,0,0,?
342,'2023/11/20 17:50:11:079',5,0,0,0,0,0,0,0,0,?
343,'2023/11/20 17:50:11:096',5,0,0,0,0,0,0,0,0,?
344,'2023/11/20 17:50:11:112',5,0,0,0,0,0,0,0,0,?
345,'2023/11/20 17:50:11:129',5,0,0,0,0,0,0,0,0,?
346,'2023/11/20 17:50:11:145',5,0,0,0,0,0,0,0,0,?
347,'2023/11/20 17:50:11:162',5,0,0,0,0,0,0,0,0,?
348,'2023/11/20 17:50:11:179',5,0,0,0,0,0,0,0,0,?
349,'2023/11/20 17:50:11:195',5,0,0,0,0,0,0,0,0,?
350,'2023/11/20 17:50:11:212',5,0,0,0,0,0,0,0,0,?
351,'2023/11/20 17:50:11:228',5,0,0,0,0,0,0,0,0,?
352,'2023/11/20 17:50:11:245',5,0,0,0,0,0,0,0,0,?
353,'2023/11/20 17:50:11:263',5,0,0,0,0,0,0,0,0,?
354,'2023/11/20 17:50:11:278',5,0,0,0,0,0,0,0,0,?
355,'2023/11/20 17:50:11:294',5,0,0,0,0,0,0,0,0,?
356,'2023/11/20 17:50:11:311',5,0,0,0,0,0,0,0,0,?
357,'2023/11/20 17:50:17:211',6,0,0,0,0,0,0,0,0,?
358,'2023/11/20 17:50:17:228',6,0,0,0,0,0,0,0,0,?
